,AMT_GOODS_PRICE,FLAG_EMP_PHONE,REGION_RATING_CLIENT_W_CITY,YEARS_BUILD_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,APARTMENTS_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_60_CNT_SOCIAL_CIRCLE
SK_ID_CURR,0.034604074,0.052902876,0.025083677,0.001501969,0.029300805,0.056273115,0.061230435,0.001468589,0.004888932,0.031983783,0.104187579,0.0186121,0.064108042,0.044901609,0.033988327,0.019314998,0.08904067,0.066708406,0.033179914,0.031130932,0.001642134,0.001695938,0.046681862,0.085859741,0.010960797,0.052201143,0.042442097,0.054751788,0.028331219,0.051558564,0.010996088,0.072744436,0.0551564,0.010037785
TARGET,0.05595653,0.07846434,0.101465209,0.010772388,0.005926589,0.020814836,0.012435264,0.006567902,0.011009228,0.044739802,0.005460874,0.048674747,0.018347362,0.036107026,0.022838167,0.004220563,0.022980242,0.025643658,0.002420601,0.03264775,0.001955415,0.009128185,0.062769827,0.000701117,0.036284523,0.003134998,0.022289686,0.030016292,0.00237625,0.019471376,0.017941235,0.009964927,0.012782962,0.007259994
CNT_CHILDREN,0.043359124,0.168733532,0.146615256,0.050301042,0.001559352,0.006953417,0.032340527,0.060894381,0.054663872,0.047041565,0.038147814,0.011093123,0.008618306,0.000759204,0.002247418,7.27E-05,0.009628236,0.168059017,0.002035294,0.018765917,0.050964216,0.050829856,0.032974509,0.012043203,0.025970378,0.006935419,0.009828109,0.014381139,0.002445878,0.005295853,0.028249982,0.146657962,0.014122708,0.054533425
AMT_INCOME_TOTAL,0.338741281,0.021723256,0.274438674,0.065105088,0.114519522,0.145749465,0.103819216,0.064626095,0.063300892,0.16390366,0.125769754,0.061327278,0.216562454,0.174130146,0.081891223,0.093384977,0.138196771,0.188214557,0.112787166,0.065618733,0.066007992,0.064794965,0.194637452,0.138786185,0.032977602,0.23228283,0.173253406,0.071177611,0.110234045,0.136405242,0.005983388,0.198236819,0.161270979,0.07303892
AMT_CREDIT,0.990156208,0.047809782,0.136357339,0.012773433,0.100368752,0.099802218,0.107357013,0.008444223,0.013349988,0.0593407,0.121736513,0.032305461,0.118274376,0.10578761,0.000384278,0.086248347,0.092318136,0.033928166,0.108078331,0.052500332,0.016345114,0.013777137,0.088776237,0.120882819,0.02773764,0.133706093,0.12124393,0.009491101,0.10135835,0.090622062,0.042493604,0.032660804,0.151303711,0.018855383
AMT_ANNUITY,0.767785009,0.035790254,0.19829304,0.0065664,0.047517841,0.071022464,0.07342482,0.005599495,0.009093876,0.065870122,0.113990027,0.017001602,0.105715913,0.099793113,0.013369765,0.035216333,0.06799034,0.049871458,0.073761894,0.060320113,0.00990202,0.007330925,0.082086592,0.114089226,0.023132723,0.117137799,0.109974919,0.01778535,0.045194988,0.06323406,0.01109499,0.058787764,0.122252088,0.075850092
AMT_GOODS_PRICE,,0.044550254,0.149056593,0.005731039,0.103626414,0.107753535,0.112516387,0.000993487,0.005949608,0.057753581,0.129226482,0.038373695,0.121758488,0.109573184,0.001940369,0.088390254,0.098587329,0.030304897,0.115764515,0.056320973,0.009263627,0.006898229,0.087393326,0.130312837,0.034255421,0.139290269,0.126916704,0.004535135,0.105291083,0.100586233,0.049733277,0.033141063,0.155138343,0.020854068
REGION_POPULATION_RELATIVE,,0.005532958,0.583040453,0.121841952,0.131561354,0.15448779,0.144704077,0.114400532,0.126650753,0.096666554,0.230781032,0.001168135,0.217813247,0.260861728,0.044767822,0.098162539,0.143142646,0.083915638,0.157007745,0.029291728,0.116370825,0.12200939,0.10896415,0.253055396,0.023714598,0.250913792,0.271945422,0.035607021,0.117399466,0.135987588,0.021720181,0.079964699,0.185374083,0.051894949
DAYS_BIRTH,,0.458207448,0.061282127,0.036443104,0.009227622,0.033797645,0.008724875,0.039002049,0.033102159,0.050013361,0.061642288,0.027701251,0.08643116,0.052075457,0.051098359,0.013681218,0.012259855,0.006948868,0.005449482,0.005442754,0.036630322,0.036856205,0.046231678,0.065516637,0.021227273,0.093748218,0.062070066,0.038572234,0.016724749,0.028425382,0.009938227,0.012211309,0.045308093,0.020442803
DAYS_EMPLOYED,,0.999726453,0.025827774,0.039525544,0.020177749,0.033826044,0.004145438,0.042708074,0.040710128,0.028919623,0.017552862,0.009713914,0.061112566,0.035453117,0.019763729,0.010365431,0.012701565,0.029652003,0.009291156,0.050152427,0.040520116,0.040939977,0.035118279,0.023371146,0.015705013,0.051254832,0.04137173,0.023482446,0.003640504,0.020400641,0.093648616,0.041090342,0.025458257,0.022890515
DAYS_REGISTRATION,,0.189371816,0.151516068,0.196048114,0.012286642,0.005084973,0.017870344,0.188030216,0.189520163,0.065037836,0.024118966,0.087460612,0.032623246,0.047501901,0.031425826,0.012994147,0.005760933,0.125706907,0.023390528,0.02328496,0.193858386,0.196293106,0.066764345,0.017241765,0.086203618,0.022097304,0.041203231,0.021949668,0.020773452,0.013616682,0.057605341,0.136987744,0.041036093,0.041600083
DAYS_ID_PUBLISH,,0.090362621,0.034738632,0.009641345,0.015134918,0.036323117,0.016228208,0.016649613,0.010698936,0.018567466,0.043797269,0.017583162,0.067524543,0.056586559,0.000572257,0.019879909,0.060853575,0.078730716,0.003213527,0.042026212,0.015496884,0.011136406,0.001353691,0.031598131,0.00310967,0.064901776,0.060957674,0.021219026,0.016313169,0.039009823,0.041297516,0.075476922,0.029895935,0.019886359
OWN_CAR_AGE,,0.149622661,0.074581706,0.057591117,0.01450289,0.045289257,0.022842518,0.063175238,0.056490287,0.02368125,0.006499428,0.025386334,0.053274115,0.066978408,0.06827445,0.016242044,0.044127547,0.088674436,0.02938928,0.010916189,0.062763697,0.05753137,0.019404555,0.01624987,0.012560243,0.053316847,0.064905284,0.065522452,0.026662444,0.054696367,0.049764154,0.082116949,0.038773825,0.076574671
FLAG_MOBIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAG_EMP_PHONE,,,0.025449869,0.039222331,0.020312985,0.033921012,0.003508699,0.042406927,0.040453637,0.029171493,0.016970482,0.010494059,0.061157301,0.03510557,0.020700724,0.010648821,0.01233736,0.030390176,0.009077941,0.051224931,0.040190086,0.040669484,0.035554609,0.022797128,0.016502994,0.051103663,0.041019504,0.024200684,0.003695884,0.020581173,0.092623424,0.041507633,0.024373504,0.023958555
FLAG_WORK_PHONE,,,0.034423818,0.029479638,0.005653669,0.017653959,0.00698941,0.038266246,0.028253716,0.020004525,0.012080803,0.03066587,0.025782587,0.03394327,0.095638607,0.000979652,0.029878721,0.097827608,0.002001111,0.012388329,0.034652607,0.030245298,0.019646103,0.019551862,0.026364488,0.022871726,0.035335498,0.081175032,0.00453626,0.020809326,0.045411889,0.103667158,0.003602848,0.054859901
FLAG_CONT_MOBILE,,,0.087703525,0.064984587,0.045058446,0.042665034,0.045886964,0.065132256,0.065599787,0.019247155,0.032159303,0.06040074,0.027212678,0.007991407,0.024867954,0.043322958,0.040130012,0.01617001,0.047740617,0.046289875,0.064305046,0.06472351,0.021221161,0.033109138,0.063342248,0.029093477,0.00938722,0.027138878,0.044670362,0.042132116,0.007105002,0.018166055,0.045093034,0.031185574
FLAG_PHONE,,,0.135353626,0.00998481,0.075139831,0.14239144,0.114920117,0.012663851,0.008068468,0.039696355,0.125828235,0.103919022,0.112620619,0.176900259,0.09035195,0.067997971,0.167842909,0.083899685,0.093960634,0.098732962,0.011388179,0.011096516,0.050419663,0.111620526,0.108682254,0.12631359,0.170111369,0.073475169,0.066057565,0.129540062,0.094909163,0.091804904,0.114184073,0.025996643
FLAG_EMAIL,,,0.131081839,0.007861542,0.133455079,0.151330842,0.151398946,0.005365969,0.010807119,0.158093442,0.172923962,0.101862534,0.108248243,0.119835222,0.023977876,0.135583811,0.18137991,0.139581776,0.133132367,0.08904914,0.00429863,0.006227377,0.157700571,0.156588303,0.100082655,0.11084767,0.113290797,0.033515254,0.135684841,0.147605359,0.033510637,0.150533595,0.134254966,0.01573173
CNT_FAM_MEMBERS,,,0.153432723,0.073855727,0.028516464,0.015235642,0.025974973,0.085502496,0.077428031,0.068461233,0.045534627,0.0164421,0.034130025,0.020593838,0.008153147,0.025413783,0.006165184,0.159877173,0.010310248,0.056741659,0.070728077,0.074464735,0.050515529,0.009084779,0.062596491,0.014459143,0.011776636,0.031164932,0.030468695,0.013169058,0.034425927,0.142050982,0.008052146,0.048658884
REGION_RATING_CLIENT,,,0.912990595,0.093012734,0.109397768,0.104111571,0.095907792,0.089927729,0.100009994,0.076399747,0.164376513,0.032085162,0.178331379,0.236235501,0.075511487,0.080700287,0.092256054,0.076134314,0.106744307,0.035721447,0.08536647,0.09229201,0.090798445,0.176252775,0.008190078,0.19928854,0.246613755,0.056734768,0.098849033,0.09079485,0.020362795,0.087889619,0.139325597,0.055415705
REGION_RATING_CLIENT_W_CITY,,,,0.048410151,0.162649652,0.159677394,0.160555823,0.043476077,0.054466584,0.113134611,0.209807504,0.007877562,0.210730983,0.222617896,0.053458032,0.13703257,0.155108328,0.092041316,0.165510654,0.028961841,0.04077332,0.047955651,0.12318162,0.21660877,0.011553272,0.228564229,0.230828249,0.039484878,0.152149605,0.146699611,0.013194136,0.099085126,0.18494803,0.038453595
